단지명,전용면적(㎡),계약년월,거래금액(만원),층_x,보증금(만원),층_y,건축년도_y,도로명_y,전세가율
현대(이충),71.397,202102,19200,5,16000,5,1992,송탄로 90,0.833333333
소사벌리더스하임,84.86,202002,27800,4,23000,15,2014,비전3로 59,0.827338129
고덕하늘채시그니처,59.949,202102,29064,9,24000,9,2021,효덕새싹길 55,0.825763832
평택서정동롯데캐슬,118.31,202102,42500,9,35000,18,2010,송탄로 170,0.823529412
한승아파트,44.46,202102,8500,7,7000,7,2000,동부대로 41,0.823529412
소사벌효성백년가약,84.9861,202002,28700,11,23500,4,2012,평남로 865,0.818815331
부영2,49.98,202002,10400,9,8500,9,1996,이충로 93-15,0.817307692
문화,49.86,202102,10300,6,8400,6,1994,중앙로 301,0.815533981
부영사랑으로1단지,59.9605,202102,13000,9,10500,3,2011,12,0.807692308
아주,59.95,202002,12400,7,10000,8,1994,송탄공원로 146,0.806451613
평택서정동롯데캐슬,118.31,202002,31000,5,25000,13,2010,송탄로 170,0.806451613
평택용이금호어울림2단지,84.9967,202102,38500,9,31000,3,2015,현촌1로 8,0.805194805
미주2(지산1134),59.85,202002,11800,4,9500,7,1994,송탄공원로 145,0.805084746
소사벌효성백년가약,84.9833,202102,34865,4,28000,9,2012,평남로 865,0.803097662
송담지엔하임1차,84.9059,202102,34900,5,28000,10,2018,송담1로 85,0.802292264
효명,84.54,202002,13100,4,10500,13,1991,탄현로1번길 77,0.801526718
동아동백,58.303,202102,12500,14,10000,10,1994,매봉산1길 16,0.8
비전경남아너스빌,121.541,202002,27500,8,22000,16,2009,평남로 671,0.8
소사벌리더스하임,84.97,202002,30000,3,24000,5,2014,비전3로 59,0.8
평택서정동롯데캐슬,84.98,202102,35000,9,28000,12,2010,송탄로 170,0.8
평택청북한양수자인,84.9898,202102,21000,7,16800,13,2016,51,0.8
송담지엔하임1차,74.8585,202102,34000,9,27000,25,2018,송담1로 85,0.794117647
아주,59.95,202102,13900,3,11000,5,1994,송탄공원로 146,0.791366906
포승삼부르네상스2단지,84.9978,202002,17700,7,14000,7,2005,여술로43번길 18,0.790960452
시대한우리,35.743,202102,9500,7,7500,2,1995,문화촌로 33,0.789473684
우성꿈그린,63.43,202002,13300,10,10500,2,1995,세교3로 5,0.789473684
현대(이충),84.58,202102,22800,3,18000,13,1992,송탄로 90,0.789473684
군문주공2,59.96,202002,17000,8,13300,9,1999,원평로25번길 61,0.782352941
우성꿈그린,84.97,202102,17900,9,14000,1,1995,세교3로 5,0.782122905
개나리,59.95,202002,12800,12,10000,7,1995,세교2로 38,0.78125
