Avg_3,의정부시,오산시,파주시,화성시,광주시,양주시
93.5,92.4,91.0,96.2,93.3,94.0,94.3
95.1,94.8,92.5,97.0,94.7,95.6,96.0
96.3,96.1,94.5,97.6,96.0,96.8,96.7
97.4,97.2,96.0,98.5,97.2,98.0,97.5
100.0,100.0,100.0,100.0,100.0,100.0,100.0
102.1,101.8,103.5,101.1,102.5,101.8,101.8
104.7,103.8,107.3,103.1,105.6,104.1,104.2
106.9,105.2,110.7,104.7,108.8,105.4,106.4
108.8,106.5,114.1,105.9,110.9,106.8,108.5
109.8,107.2,115.9,106.9,111.6,107.9,109.5
110.2,107.4,116.7,107.2,111.6,108.4,109.8
110.3,107.4,116.8,107.5,111.5,108.7,109.8
110.2,107.3,116.6,107.8,111.0,108.7,109.7
